"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-2682-5p",12.1224866448792,0.112654971899945,0.13890103442762,0.811044873525751,0.417339901603373,0.911730214791225
"hsa-miR-26a-5p",944.129052290753,0.0912778045437813,0.119779416937076,0.762049164020663,0.446030661865312,0.911730214791225
"hsa-miR-26b-5p",893.234299822115,-0.15576384177264,0.166508386876737,-0.935471447981472,0.349545391009609,0.911730214791225
"hsa-miR-27a-3p",5.85209890036221,0.232540507506155,0.182126546213281,1.27680732073971,0.201670280345061,0.843456908976773
"hsa-miR-27b-3p",12.2405140586062,-0.15161966556423,0.165872926358083,-0.914071204344202,0.360679432187925,0.911730214791225
"hsa-miR-28-3p",66.8691993150389,0.174575027149902,0.106748756699937,1.63538229902405,0.101968930732121,0.741592223506337
"hsa-miR-28-5p",300.97337478779,-0.0753219613890131,0.075207515891596,-1.00152172952477,0.316574640193543,0.911730214791225
"hsa-miR-296-3p",1.64814910405457,-0.0584744351047898,0.150729587599783,-0.387942646403646,0.698058477508233,0.935142586862017
"hsa-miR-296-5p",1805.43331802499,0.121701962442585,0.137289449897041,0.886462598064559,0.375368300173521,0.911730214791225
"hsa-miR-297",5.98616181647471,0.157030581947846,0.169071838872431,0.928780233273089,0.353002990432094,0.911730214791225
"hsa-miR-298",2.2872302234233,0.161969091023201,0.145520399278224,1.11303358035411,0.265694007606698,0.893125237514716
"hsa-miR-299-3p",12.059876845497,-0.121711728731495,0.205216330737598,-0.593089878831931,0.553121003548135,0.911730214791225
"hsa-miR-299-5p",5.48617914182335,0.121047020787073,0.176685969619355,0.685096960714266,0.493282738006171,0.911730214791225
"hsa-miR-29a-3p",178.766032212011,-0.0182935273013321,0.0980498247434283,-0.186573788879293,0.85199481929814,0.982126592850882
"hsa-miR-29b-3p",65.9067822239633,-0.00770453700460489,0.13190075105766,-0.0584116234579806,0.953420756401024,0.991108791263898
"hsa-miR-29c-3p",87.3968862469989,-0.164807789517921,0.127838658878403,-1.28918584537626,0.197333484707119,0.843456908976773
"hsa-miR-300",2.22863885392553,0.174043989190473,0.160430429297896,1.08485646988639,0.277985230176455,0.893125237514716
"hsa-miR-301a-3p",8.90653462956931,-0.0984297609311179,0.158901764103052,-0.619437811069761,0.535627978588705,0.911730214791225
"hsa-miR-301b",4.42359554534682,0.16835064226947,0.160872959088696,1.04648191481734,0.295338590489058,0.897914960809412
"hsa-miR-302a-3p",3.67054319558872,0.132540862388971,0.159613311504644,0.830387272462015,0.406319859272473,0.911730214791225
"hsa-miR-302b-3p",176.377403584013,0.0759662921786135,0.141843754427526,0.535563179959592,0.592260481591913,0.911730214791225
"hsa-miR-302c-3p",1.76919241476349,0.105202146795778,0.146612840834291,0.717550701542458,0.473034363775279,0.911730214791225
"hsa-miR-302d-3p",62.7964780991588,0.187242629686201,0.128498038478975,1.45716333029347,0.14507130017582,0.785287225749597
"hsa-miR-302e",4.32916995630097,0.0369517516981258,0.190157590865578,0.194321728256681,0.845923973211165,0.980639460980737
"hsa-miR-302f",1.9628397841753,0.0694511790205403,0.149732786583963,0.463834144845728,0.642766578015607,0.924734487328867
"hsa-miR-30a-5p",309.233305297196,0.223610313113515,0.1042147757551,2.14566803501059,0.0318994731743415,0.564434140172484
"hsa-miR-30b-5p",4617.69199616161,0.0660691598971024,0.120222122075899,0.549559089095026,0.582621825608815,0.911730214791225
"hsa-miR-30c-5p",1595.47120584789,-0.0397327512701292,0.120739735525825,-0.329077673535492,0.742096979213799,0.944729475016529
"hsa-miR-30d-5p",1841.00351789069,0.152772674935209,0.105497939602427,1.44811050823304,0.14758614717803,0.78641097461872
"hsa-miR-30e-5p",167.829534815333,0.00282541231289977,0.10993123645002,0.0257016331676061,0.9794953212091,0.998925913986305
"hsa-miR-31-5p",5.07118465671663,0.198623890418107,0.153633739006386,1.292840307752,0.196066296258975,0.843456908976773
"hsa-miR-3123",1.59861115763771,0.0527574989300965,0.156749852625766,0.336571282500998,0.736440107608319,0.944729475016529
"hsa-miR-3127-5p",2.76649739325324,0.122427701570116,0.153371147541927,0.798244673344754,0.424728517658593,0.911730214791225
"hsa-miR-3131",2.80586294967934,0.101421527280077,0.179466466517202,0.565128011089222,0.571986697272317,0.911730214791225
"hsa-miR-3136-5p",1.46194261821742,0.0164125948950223,0.154087803081455,0.106514562261272,0.915174102121544,0.991108791263898
"hsa-miR-3141",6.81472980688316,-0.0386543229162065,0.234843209275627,-0.164596298251228,0.869261745044558,0.987147952163427
"hsa-miR-3144-5p",2.14798506853503,-0.264787666700356,0.161784982310944,-1.63666406435331,0.101700681530078,0.741592223506337
"hsa-miR-3147",19.6122534664051,-0.0936719301346917,0.20192784410917,-0.463888130673296,0.64272789708887,0.924734487328867
"hsa-miR-3151",14.5751464200086,-0.242559094421424,0.145865250983998,-1.66289841333103,0.0963327720674806,0.740976842052861
"hsa-miR-3154",1.48459182863951,0.0135107297821164,0.153995283157283,0.0877346987850095,0.930087540306774,0.991108791263898
"hsa-miR-3161",4.70408972547638,-0.133971043480792,0.15647569272872,-0.856177986142912,0.391899337187343,0.911730214791225
"hsa-miR-3164",2.69246552790796,0.0726092105396919,0.164709219489433,0.440832703626223,0.659334115802999,0.928503896743213
"hsa-miR-3168",1.53287492134475,-0.0460408995935198,0.15371279137908,-0.299525492839276,0.764539123870277,0.950335127317473
"hsa-miR-3175",2.5983254007498,-0.22576401949992,0.176900566435018,-1.27621987905195,0.201877803340985,0.843456908976773
"hsa-miR-3178",4.89639582543115,-0.0194094781122464,0.161399242515161,-0.120257553937548,0.904279127077622,0.990990824194654
"hsa-miR-3180",2.51701531356454,0.331343991568227,0.158613624183627,2.0890008236911,0.0367076490237899,0.564434140172484
"hsa-miR-3180-3p",1.51415936090623,0.186474804914014,0.151876621131744,1.22780453979324,0.219520351063629,0.860062519455433
"hsa-miR-3180-5p",44.0209512136872,-0.130363586429729,0.154930085431551,-0.841434935420107,0.40010432095481,0.911730214791225
"hsa-miR-3182",1.92749895899913,0.138718538811669,0.152068697414623,0.912209686609248,0.36165834571154,0.911730214791225
"hsa-miR-3184-5p",60.1570548931577,-0.0301472031176721,0.0885032876986479,-0.340633708663149,0.733379349645469,0.944729475016529
"hsa-miR-3185",4.18030210735429,0.338699561699723,0.159123008751805,2.12853919968303,0.0332924034485453,0.564434140172484
"hsa-miR-3187-3p",1.42553015510587,-0.0854280223271847,0.155782036877181,-0.5483817264152,0.58342982115931,0.911730214791225
"hsa-miR-3190-5p",8.962884991562,-0.379255045957184,0.220584034942628,-1.71932228030839,0.0855557051928796,0.705302446140069
"hsa-miR-3192",2.00738847294527,-0.081609345617098,0.142787424523099,-0.571544349158674,0.567630706703242,0.911730214791225
"hsa-miR-3195",21.1948630126423,-0.09793345808356,0.179109363626877,-0.546780224665285,0.584529730647422,0.911730214791225
"hsa-miR-3196",4.77125423496773,0.162829768153196,0.177335211047056,0.918203255810199,0.358512464465227,0.911730214791225
"hsa-miR-32-5p",3.28390575747881,0.174882910590471,0.178841711140726,0.977864221243447,0.328141482873899,0.911730214791225
"hsa-miR-3200-3p",71.8679735058374,0.140037893999149,0.115361651202002,1.21390334257558,0.224784636363723,0.864947099498451
