"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"Ddx3x",-0.341854408682596,8.29338196417087e-31,-0.353157813889297,2.12271508835252e-11,-0.365306996207482,5.84184658207455e-35,-0.414425973367822,8.66450575609405e-17,-0.371148577104649,2.47072612260115e-38,-0.396068473804745,1.2225424513977e-14
"Degs2",-0.0481390929012426,0.172330464101633,-0.000767624799966991,0.921366581611471,-0.00330811617807998,0.841725433814872,-0.00619513740661157,0.890358777851262,-0.219531524711366,0.00384688950571753,-8.68781502205907e-05,0.997636213866355
"Dna2",-0.734202674384258,1.60781937901338e-26,-0.73451435581886,5.41362287119811e-10,-0.561204419976909,1.65743336632548e-15,-0.777845196818381,1.0519545107357e-11,-0.850477562511307,6.91458968686028e-37,-0.878508507146723,1.38899653589274e-14
"Dnaja4",0.00202714177029089,0.493573492037322,-0.00237686255763554,0.921366581611471,0.0455133297244663,0.0636078604091561,0.099154210464366,0.0211897909694995,0.0453876881859594,0.0554237065745309,0.000141596149134457,0.997636213866355
"Dok3",0.000510249273188473,0.999899773256004,0.000244417919980142,0.951808100194021,0.00235780198802472,0.936731140941606,0.182263787733001,0.0393678958952235,0.111155064301387,0.0385247943078907,-1.76265316187017e-05,0.997636213866355
"Dtx4",0.00426300862758371,0.392996289279347,0.0896229358326224,0.0311158655778085,0.0473166623994138,0.0785244326174953,0.0281732831211964,0.446305516367949,0.0346302225425364,0.145258813012255,-2.79398218913114e-05,0.997636213866355
"Edn3",-0.271812310362774,0.00103619457488539,-0.0027366420066966,0.90663791780776,-0.143089772443551,0.0226864725924701,-0.0224888365467647,0.429623673860665,-0.313887483140992,9.24114804715353e-06,-0.00695293217730479,0.576011178841099
"Eif2s3x",-0.599301554189537,3.71660174881155e-194,-0.58453386244999,1.91204020096959e-70,-0.578347672239989,1.8873652907657e-181,-0.613538844771649,2.8551133361408e-78,-0.638371005910907,7.47204239660376e-230,-0.61578139960736,6.6597841866188e-79
"Elf5",-0.615689033372304,9.60815464315447e-11,-0.203888277057202,0.0440440780653852,-0.0658812752285812,0.0894724908876864,-0.808024170773196,7.28147914247475e-07,-0.837194474534584,1.13113719155383e-20,-0.755655582594549,9.27053841446858e-06
"Emp2",0.0959771956177109,0.0276407340940397,0.0100539236667566,0.501564532912335,0.0790406642961987,0.0391814991697644,0.079472976805409,0.0769087550682903,0.159860974249495,6.68539246413433e-05,0.00206700576989041,0.612535298700082
"Emx2",0.000993996468359,0.919282543434255,0.00111690158293081,0.921366581611471,0.00341694765833845,0.822925494010432,0.00646374870135026,0.917352887210142,0.163881153641001,0.00245730156735802,3.85178596260605e-05,0.997636213866355
"Eogt",-0.0227370773746252,0.153669288767889,-0.00224665731765317,0.921366581611471,-0.00476829409461663,0.713192744751852,-0.0424794099763075,0.231812426605084,-0.161472769749792,1.69369363190125e-06,-9.66387579390575e-05,0.997636213866355
"Epha8",-0.000815829574307858,0.999899773256004,-0.00101731203453754,0.921366581611471,-0.0411886366779025,0.151928528420743,-0.234126537275284,0.021253373910131,-0.0805448564570714,0.0734251383395492,-0.000415039313266824,0.974316762082999
"Ephx1",-0.0245011451735471,0.227417246219389,-0.0025680463747909,0.921366581611471,-0.0980986896657698,0.0425717692055186,-0.0758134046872819,0.10180211600783,-0.0255769885700379,0.254415990547286,3.21165762804918e-06,0.997636213866355
"Epm2a",-0.000198301876284987,0.999899773256004,-0.00144211383615159,0.921366581611471,-0.04383899859349,0.104923282527416,-0.0998235558245884,0.0494184634978679,-0.0314395716657793,0.181749586119863,-2.1312290884956e-05,0.997636213866355
"Etfrf1",-0.00221821422759369,0.649690940287838,-0.00173115264025587,0.921366581611471,-0.000130654484067457,0.997778888080173,-0.0128920968929623,0.787638522721117,-0.0749932214216803,0.0367074799994527,1.94993177895436e-05,0.997636213866355
"Etv4",7.17552249095714e-05,0.999899773256004,0.00334807888969982,0.90663791780776,0.0193585318592872,0.273474469439631,0.121742099909559,0.0401494523479176,0.02591882781753,0.247321151326076,-0.000265716601138397,0.940177384302102
"Fabp7",0.00307525690641646,0.842143399585601,0.00292960156438949,0.8995854750931,0.082916558891302,0.0662834454123947,0.0594336076132179,0.122919095162604,0.134219822296111,0.0305251159656123,1.71516377793778e-05,0.997636213866355
"Fam214a",-0.000626885520264625,0.999899773256004,-0.000483805637765132,0.949439841700458,-0.0230309717639846,0.255735655884764,-0.0836247391642006,0.0888941828394589,-0.0924430887032915,0.0438963488919393,4.88283236509619e-05,0.997636213866355
"Fam229b",-3.51448703737324e-05,0.999899773256004,-0.000284869810710464,0.972407758642508,-0.000997884681892338,0.997778888080173,-0.0134520249345367,0.765571765813814,-0.0851712108632972,0.0315536918805158,5.32076755348326e-05,0.997636213866355
"Fbh1",-0.0045995755962794,0.268824185610378,-0.00503429342859373,0.921366581611471,-0.011382646016694,0.363615652378668,-0.0210266198363711,0.632916815265187,-0.0508181079727335,0.0149415895715428,-9.73581400959397e-05,0.997636213866355
"Fgfrl1",0.000310003045521632,0.999899773256004,0.000907891558976234,0.921366581611471,0.00379737408738908,0.788569716752993,0.00726016686229686,0.894723265017565,0.164463197903884,0.00423263582718094,5.86849734721958e-06,0.997636213866355
"Fkbp4",0.000187092646379208,0.999899773256004,-0.00010443877673795,0.991124302836054,0.0220580199076665,0.226728906830571,0.137306655715051,0.0192541838006696,0.0597078320682083,0.0539602753094518,4.7408330447421e-05,0.997636213866355
"Fmo2",-0.969625107146525,5.39978334420997e-10,-0.0364496998501651,0.202561074136204,-0.755408739989041,9.55431672575288e-07,-0.284066059573156,0.0186946580291975,-0.95523692380812,3.02830406321497e-10,-0.000145723434219687,0.997636213866355
"Frmpd1",0.0736639385661131,0.0523193447689398,0.00476633929598421,0.772045015337172,0.158774250716226,0.000575077559071666,0.137231731089365,0.0240473422904337,0.101295387015516,0.0170003182913785,0.000313999241620675,0.935125584066951
"Galnt16",0.00633695603734046,0.283527624127363,0.00253732779740814,0.921366581611471,0.0340236841743695,0.104923282527416,0.0335916101577053,0.340268715738256,0.128437855459316,9.32040286295539e-06,0.00105397196133798,0.627796854763298
"Gbe1",-0.00144643243527321,0.783067044997844,-0.0021654726392337,0.921366581611471,-0.00448753439802805,0.718717327497953,-0.00602252598816364,0.92747271806263,-0.0922532422566083,0.0216273678086893,-4.00292901952286e-05,0.997636213866355
"Gbp3",-0.138262974067379,0.0362589151427014,-0.00156481143297995,0.921366581611471,-0.19362317842613,0.00844061399328577,-0.0990909022834301,0.0730297128525072,-0.153503435409267,0.0172082500952138,-0.00818934428857945,0.536430430878392
"Gbp5",-0.23107616734482,0.00391421942184114,-0.00194280727811876,0.921366581611471,-0.110488930104042,0.0391814991697644,-0.0392195315052131,0.231812426605084,-0.189259905238385,0.00541234637414225,-0.00409183191164327,0.627796854763298
"Gdf11",0.000619493052480548,0.959734683190974,0.00208877353827175,0.921366581611471,0.0475159736420875,0.108782940971961,0.11494028014915,0.0434561775785716,0.0440445281703565,0.116027296279237,-2.71149696993499e-06,0.998708515591139
"Git1",0.032903131748566,0.12803268932944,0.00186539535873979,0.921366581611471,0.114491136323078,0.0125676746260576,0.063861714077222,0.122639844477918,0.151249930581026,0.000305903294769395,0.000213139886722238,0.946994023566105
"Gkn3",-0.202021350636254,0.0276407340940397,-0.0060969653741405,0.707802584343637,-0.598298920245709,2.67477313962789e-06,-0.762814647227787,0.000246586628948527,-0.510428597398226,5.9903455442882e-05,-0.00624010006409682,0.654670656415668
"Gm16505",-0.243120715885234,0.00349356048063876,-0.00671360473495533,0.699357248258553,-0.114255624603642,0.0351716883130243,-0.00905088028157202,0.825905615374814,-0.0907331779613175,0.0539602753094518,-1.34271871112315e-05,0.997636213866355
"Gm765",-0.175912683621299,0.0317067717573857,-0.00166602748633586,0.921366581611471,-0.0340157175243526,0.170323557939355,-0.0274465060745384,0.287304602904002,-0.184276284499625,0.0141824936842977,-0.00901084270784168,0.576011178841099
"Gm8995",-0.00223138785588475,0.897645624580192,-0.000149435796902172,0.972155309034685,-0.00688932515237198,0.6152792507568,-0.0129410558419035,0.606436344208458,-0.171679005894326,0.0172082500952138,-0.000196042382409771,0.997636213866355
