"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"Sdccag8",7.29242354438965e-06,0.999987877012183,0.35144653761066,3.17742275221625e-13,6.15164951190282e-05,0.998896051182073
"Septin7",-0.000320373627100334,0.997828018512605,-0.131630716565719,6.95069360622461e-07,-0.00331714889578897,0.921204401810295
"Serpina3n",-0.00717519190000007,0.518277770060799,0.0633249692642397,0.0998414919997493,0.225863667708707,0.00147083392241913
"Sfi1",0.000445906176538795,0.990542262954265,0.281817742121022,5.94506928364096e-07,-0.0028476740975606,0.90837547341282
"Slc14a1",0.00246574610863467,0.931668139435084,0.0350474486425082,0.353086651972412,0.135307418633901,0.00924145524606186
"Slc30a1",-0.00190248003797995,0.967878937707034,-0.147725790079312,6.95069360622461e-07,0.00360415213679182,0.890019531698714
"Slc30a9",0.00339190233651072,0.958292999219919,-0.084062729623139,8.88154047208441e-08,-0.000502851601685925,0.998896051182073
"Slc35g2",-0.0816941447347517,0.0472521823050677,-0.0366590507465283,0.335822857975291,-0.0028285237761473,0.922628996243002
"Slc38a6",0.000431844340053309,0.983349714746816,0.597734702608224,3.36674982396082e-08,0.00056343721209727,0.997993037617109
"Slc44a1",0.00256844326072654,0.965532439008084,-0.009886962647899,0.738264775085516,0.0509958567981012,0.0444281080412771
"Slc46a1",0.0001971173584898,0.995580113626721,0.436602867739416,1.59090069136485e-08,-0.000517739112810625,0.997993037617109
"Snx22",0.00157309642332015,0.95586086885444,0.261666591713228,4.03489094460983e-08,0.0262874892878936,0.233155977420423
"Sorbs2",0.00466481795373751,0.864655292609961,-0.0802680488048952,0.00352588262390417,-0.0895498419292295,0.0145746609594159
"Sp8",-0.201922175285471,0.0109361667438917,-0.087428921055978,0.0362518168528161,-0.000464065887474492,0.997993037617109
"Sparcl1",-0.00270081973851271,0.967132474349828,-0.00907592784845674,0.716111247043689,-0.0681678356780658,0.00541411300296844
"Spats1",-0.00110396795228153,0.957829848313955,0.430517547962006,5.41624009219838e-09,-0.00137747888987578,0.986001494127394
"Star",2.28179359908143e-05,0.999274111864182,0.554322770227378,4.54745593719977e-07,8.07655602991151e-05,0.998896051182073
"Stk32c",0.00053993536781826,0.993753264000255,-0.00825255404062854,0.83907249045651,-0.0748297820027982,0.0429742500055461
"Tatdn1",-0.000892143969512402,0.983349714746816,-0.262571846415092,1.59090069136485e-08,-0.00254348806461061,0.947143688517909
